nm,mix1,mix2,mix3,mix4,mix5,unknown
300,0.301,0.195,0.299,0.682,0.345,0.361
305,0.369,0.230,0.231,0.730,0.343,0.370
310,0.419,0.255,0.181,0.666,0.329,0.362
315,0.446,0.273,0.156,0.518,0.308,0.342
320,0.453,0.285,0.161,0.348,0.292,0.322
325,0.444,0.297,0.201,0.211,0.290,0.314
330,0.419,0.307,0.274,0.129,0.306,0.320
335,0.379,0.313,0.369,0.094,0.334,0.336
340,0.327,0.314,0.465,0.088,0.362,0.352
345,0.268,0.307,0.537,0.091,0.376,0.355
350,0.209,0.294,0.561,0.091,0.367,0.338
355,0.155,0.279,0.529,0.085,0.331,0.298
360,0.111,0.272,0.451,0.072,0.277,0.242
365,0.081,0.290,0.351,0.056,0.217,0.182
370,0.068,0.353,0.257,0.042,0.168,0.130
375,0.077,0.469,0.187,0.032,0.141,0.097
380,0.112,0.617,0.147,0.027,0.139,0.087
385,0.173,0.743,0.128,0.026,0.156,0.101
390,0.258,0.786,0.117,0.026,0.182,0.135
395,0.357,0.718,0.104,0.025,0.207,0.181
400,0.452,0.564,0.086,0.023,0.224,0.227
